channel,hour,dominant_cluster,dominant_genre,dominant_program,minutes,label
Band,0,Jornalismo & Esporte,Jornalismo,Jornal da Noite,60,00:00–01:00
Band,1,Jornalismo & Esporte,Esportivo,Esporte Total,60,01:00–02:00
Band,2,Religioso,Religioso,Igreja Universal do Reino de Deus,60,02:00–03:00
Band,3,Religioso,Religioso,Igreja Universal do Reino de Deus,60,03:00–04:00
Band,4,Religioso,Religioso,Igreja Universal do Reino de Deus,60,04:00–05:00
Band,5,Religioso,Religioso,Igreja Universal do Reino de Deus,60,05:00–06:00
Band,6,Religioso,Religioso,Igreja Universal do Reino de Deus,60,06:00–07:00
Band,7,Religioso,Religioso,Igreja Universal do Reino de Deus,60,07:00–08:00
Band,8,Jornalismo & Esporte,Jornalismo,Bora Brasil,40,08:00–09:00
Band,9,Jornalismo & Esporte,Jornalismo,Bora Brasil,60,09:00–10:00
Band,10,Jornalismo & Esporte,Jornalismo,Bora Brasil,60,10:00–11:00
Band,11,Jornalismo & Esporte,Esportivo,Jogo Aberto,60,11:00–12:00
Band,12,Jornalismo & Esporte,Esportivo,Os Donos da Bola - Rio de Janeiro,60,12:00–13:00
Band,13,Jornalismo & Esporte,Esportivo,Os Donos da Bola - Rio de Janeiro,30,13:00–14:00
Band,14,Variedades & Entretenimento,Variedades,Vem Com a Gente com Gardênia Cavalcanti,30,14:00–15:00
Band,15,Variedades & Entretenimento,Variedades,Melhor Da Tarde,60,15:00–16:00
Band,16,Jornalismo & Esporte,Jornalismo,Brasil Urgente,60,16:00–17:00
Band,17,Jornalismo & Esporte,Jornalismo,Brasil Urgente,30,17:00–18:00
Band,18,Jornalismo & Esporte,Jornalismo,Brasil Urgente Rio,40,18:00–19:00
Band,19,Jornalismo & Esporte,Jornalismo,Jornal da Band,40,19:00–20:00
Band,20,Jornalismo & Esporte,Jornalismo,Jornal da Band,30,20:00–21:00
Band,21,Religioso,Religioso,Show da Fé,35,21:00–22:00
Band,22,Variedades & Entretenimento,Variedades,Linha de Combate,40,22:00–23:00
Band,23,Ficção,Novela,Dona Beja,45,23:00–24:00
Globo,0,Jornalismo & Esporte,Jornalismo,Jornal da Globo,40,00:00–01:00
Globo,1,Ficção,Novela,Coração Acelerado,40,01:00–02:00
Globo,2,Variedades & Entretenimento,Humor,Comédia Na Madruga - Vai Que Cola I,40,02:00–03:00
Globo,3,Ficção,Filme,Corujão: O Pai da Rita,60,03:00–04:00
Globo,4,Ficção,Filme,Corujão: O Pai da Rita,60,04:00–05:00
Globo,5,Ficção,Filme,Corujão: O Pai da Rita,60,05:00–06:00
Globo,6,Jornalismo & Esporte,Jornalismo,Hora Um,60,06:00–07:00
Globo,7,Jornalismo & Esporte,Jornalismo,Hora Um,60,07:00–08:00
Globo,8,Jornalismo & Esporte,Jornalismo,Hora Um,30,08:00–09:00
Globo,9,Jornalismo & Esporte,Jornalismo,Bom Dia Brasil,30,09:00–10:00
Globo,10,Variedades & Entretenimento,Variedades,Encontro com Patrícia Poeta,35,10:00–11:00
Globo,11,Variedades & Entretenimento,Variedades,Mais Você,45,11:00–12:00
Globo,12,Jornalismo & Esporte,Jornalismo,RJ1,60,12:00–13:00
Globo,13,Jornalismo & Esporte,Jornalismo,Jornal Hoje,35,13:00–14:00
Globo,14,Jornalismo & Esporte,Jornalismo,Jornal Hoje,45,14:00–15:00
Globo,15,Ficção,Filme,Sessão da Tarde: Nosso Amigo Extraordinário,35,15:00–16:00
Globo,16,Ficção,Filme,Sessão da Tarde: Nosso Amigo Extraordinário,60,16:00–17:00
Globo,17,Ficção,Novela,Vale a Pena Ver de Novo: Rainha da Sucata,50,17:00–18:00
Globo,18,Ficção,Novela,A Nobreza do Amor,35,18:00–19:00
Globo,19,Jornalismo & Esporte,Jornalismo,RJ2,30,19:00–20:00
Globo,20,Ficção,Novela,Coração Acelerado,30,20:00–21:00
Globo,21,Ficção,Novela,Três Graças,40,21:00–22:00
Globo,22,Variedades & Entretenimento,Reality,Big Brother Brasil 26,35,22:00–23:00
Globo,23,Variedades & Entretenimento,Documentário,Globo Repórter,50,23:00–24:00
Record TV,0,Jornalismo & Esporte,Jornalismo,Jornal da Record 24h,30,00:00–01:00
Record TV,1,Religioso,Religioso,Fala que eu te Escuto,60,01:00–02:00
Record TV,2,Religioso,Religioso,IURD - Inteligência e Fé,30,02:00–03:00
Record TV,3,Religioso,Religioso,IURD - Palavra Amiga,30,03:00–04:00
Record TV,4,Religioso,Religioso,Programação IURD,60,04:00–05:00
Record TV,5,Jornalismo & Esporte,Jornalismo,Balanço Geral Manhã,60,05:00–06:00
Record TV,6,Jornalismo & Esporte,Jornalismo,Balanço Geral Manhã,60,06:00–07:00
Record TV,7,Jornalismo & Esporte,Jornalismo,Balanço Geral Manhã - SP,30,07:00–08:00
Record TV,8,Jornalismo & Esporte,Jornalismo,Balanço Geral Manhã - SP,30,08:00–09:00
Record TV,9,Jornalismo & Esporte,Jornalismo,Fala Brasil,30,09:00–10:00
Record TV,10,Jornalismo & Esporte,Jornalismo,Hoje em Dia,60,10:00–11:00
Record TV,11,Jornalismo & Esporte,Jornalismo,Hoje em Dia,30,11:00–12:00
Record TV,12,Jornalismo & Esporte,Jornalismo,Balanço Geral - SP,60,12:00–13:00
Record TV,13,Jornalismo & Esporte,Jornalismo,Balanço Geral - SP,60,13:00–14:00
