channel,program,cluster,genre,minutes
Band,Brasil Urgente Rio,Jornalismo & Esporte,Jornalismo,40
Band,Jornal do Rio,Jornalismo & Esporte,Jornalismo,40
Band,Jornal da Band,Jornalismo & Esporte,Jornalismo,70
Band,Guerra das Rosas,Ficção,Novela,55
Band,Show da Fé,Religioso,Religioso,55
Band,Linha de Combate,Variedades & Entretenimento,Variedades,40
Globo,Vale a Pena Ver de Novo: Avenida Brasil,Ficção,Novela,25
Globo,A Nobreza do Amor,Ficção,Novela,45
Globo,RJ2,Jornalismo & Esporte,Jornalismo,30
Globo,Coração Acelerado,Ficção,Novela,50
Globo,Jornal Nacional,Jornalismo & Esporte,Jornalismo,50
Globo,Três Graças,Ficção,Novela,65
Globo,Big Brother Brasil 26,Variedades & Entretenimento,Reality,35
Record TV,Cidade Alerta,Jornalismo & Esporte,Jornalismo,50
Record TV,Cidade Alerta,Jornalismo & Esporte,Jornalismo,65
Record TV,Jornal da Record,Jornalismo & Esporte,Jornalismo,65
Record TV,Coração de Mãe,Ficção,Novela,60
Record TV,Reis - A Consequência,Ficção,Novela,30
Record TV,Chamas do Destino,Ficção,Novela,30
SBT,Coração Indomável,Ficção,Novela,30
SBT,Aqui Agora,Jornalismo & Esporte,Jornalismo,60
SBT,SBT Brasil,Jornalismo & Esporte,Jornalismo,75
SBT,Presente de Amor,Ficção,Novela,60
SBT,Programa do Ratinho,Variedades & Entretenimento,Variedades,60
SBT,Impuros,Ficção,Série/Drama,15
