channel,start_time,program,raw_category,start_min,end_min,duration_min,genre,cluster,hours,start_label,end_time
Band,00:00,Jornal da Noite,Jornalismo/Informativo,0,60,60,Jornalismo,Jornalismo & Esporte,1.0,00:00,01:00
Band,01:00,Esporte Total,Jornalismo/Esportivo,60,120,60,Esportivo,Jornalismo & Esporte,1.0,01:00,02:00
Band,02:00,Igreja Universal do Reino de Deus,Variedades/Religião,120,240,120,Religioso,Religioso,2.0,02:00,04:00
Band,04:00,Igreja Universal do Reino de Deus,Variedades/Religião,240,480,240,Religioso,Religioso,4.0,04:00,08:00
Band,08:00,Agro Band,Jornalismo/Informativo,480,495,15,Jornalismo,Jornalismo & Esporte,0.25,08:00,08:15
Band,08:15,Oração do Dia com Profeta Vinícius Iracet,Variedades/Religião,495,500,5,Religioso,Religioso,0.08333333333333333,08:15,08:20
Band,08:20,Bora Brasil,Jornalismo/Informativo,500,660,160,Jornalismo,Jornalismo & Esporte,2.6666666666666665,08:20,11:00
Band,11:00,Jogo Aberto,Jornalismo/Esportivo,660,720,60,Esportivo,Jornalismo & Esporte,1.0,11:00,12:00
Band,12:00,Os Donos da Bola - Rio de Janeiro,Jornalismo/Esportivo,720,810,90,Esportivo,Jornalismo & Esporte,1.5,12:00,13:30
Band,13:30,Vem Com a Gente com Gardênia Cavalcanti,Variedades/Diversos,810,870,60,Variedades,Variedades & Entretenimento,1.0,13:30,14:30
Band,14:30,Melhor Da Tarde,Variedades/Diversos,870,960,90,Variedades,Variedades & Entretenimento,1.5,14:30,16:00
Band,16:00,Brasil Urgente,Jornalismo/Informativo,960,1050,90,Jornalismo,Jornalismo & Esporte,1.5,16:00,17:30
Band,17:30,Brasil Urgente Rio,Jornalismo/Informativo,1050,1120,70,Jornalismo,Jornalismo & Esporte,1.1666666666666667,17:30,18:40
Band,18:40,Jornal do Rio,Jornalismo/Informativo,1120,1160,40,Jornalismo,Jornalismo & Esporte,0.6666666666666666,18:40,19:20
Band,19:20,Jornal da Band,Jornalismo/Informativo,1160,1230,70,Jornalismo,Jornalismo & Esporte,1.1666666666666667,19:20,20:30
Band,20:30,Guerra das Rosas,Variedades/Novela,1230,1285,55,Novela,Ficção,0.9166666666666666,20:30,21:25
Band,21:25,Show da Fé,Variedades/Religião,1285,1340,55,Religioso,Religioso,0.9166666666666666,21:25,22:20
Band,22:20,Linha de Combate,Variedades/Diversos,1340,1395,55,Variedades,Variedades & Entretenimento,0.9166666666666666,22:20,23:15
Band,23:15,Dona Beja,Variedades/Novela,1395,1440,45,Novela,Ficção,0.75,23:15,24:00
Globo,00:00,Jornal da Globo,Jornalismo/Informativo,0,40,40,Jornalismo,Jornalismo & Esporte,0.6666666666666666,00:00,00:40
Globo,00:40,A Nobreza do Amor,Variedades/Novela,40,80,40,Novela,Ficção,0.6666666666666666,00:40,01:20
Globo,01:20,Coração Acelerado,Variedades/Novela,80,125,45,Novela,Ficção,0.75,01:20,02:05
Globo,02:05,Comédia Na Madruga - Vai Que Cola I,Séries/Humor,125,165,40,Humor,Variedades & Entretenimento,0.6666666666666666,02:05,02:45
Globo,02:45,Corujão: O Pai da Rita,Filme/Comédia,165,360,195,Filme,Ficção,3.25,02:45,06:00
Globo,06:00,Hora Um,Jornalismo/Informativo,360,510,150,Jornalismo,Jornalismo & Esporte,2.5,06:00,08:30
Globo,08:30,Bom Dia Brasil,Jornalismo/Informativo,510,570,60,Jornalismo,Jornalismo & Esporte,1.0,08:30,09:30
Globo,09:30,Encontro com Patrícia Poeta,Variedades/Diversos,570,635,65,Variedades,Variedades & Entretenimento,1.0833333333333333,09:30,10:35
Globo,10:35,Mais Você,Variedades/Diversos,635,705,70,Variedades,Variedades & Entretenimento,1.1666666666666667,10:35,11:45
Globo,11:45,RJ1,Jornalismo/Informativo,705,780,75,Jornalismo,Jornalismo & Esporte,1.25,11:45,13:00
Globo,13:00,Globo Esporte,Jornalismo/Esportivo,780,805,25,Esportivo,Jornalismo & Esporte,0.4166666666666667,13:00,13:25
Globo,13:25,Jornal Hoje,Jornalismo/Informativo,805,885,80,Jornalismo,Jornalismo & Esporte,1.3333333333333333,13:25,14:45
Globo,14:45,Terra Nostra,Variedades/Novela,885,925,40,Novela,Ficção,0.6666666666666666,14:45,15:25
Globo,15:25,Sessão da Tarde: Nosso Amigo Extraordinário,Filme/Ficção,925,1025,100,Filme,Ficção,1.6666666666666667,15:25,17:05
Globo,17:05,Vale a Pena Ver de Novo: Rainha da Sucata,Variedades/Novela,1025,1075,50,Novela,Ficção,0.8333333333333334,17:05,17:55
Globo,17:55,Vale a Pena Ver de Novo: Avenida Brasil,Variedades/Novela,1075,1105,30,Novela,Ficção,0.5,17:55,18:25
Globo,18:25,A Nobreza do Amor,Variedades/Novela,1105,1150,45,Novela,Ficção,0.75,18:25,19:10
Globo,19:10,RJ2,Jornalismo/Informativo,1150,1180,30,Jornalismo,Jornalismo & Esporte,0.5,19:10,19:40
Globo,19:40,Coração Acelerado,Variedades/Novela,1180,1230,50,Novela,Ficção,0.8333333333333334,19:40,20:30
Globo,20:30,Jornal Nacional,Jornalismo/Informativo,1230,1280,50,Jornalismo,Jornalismo & Esporte,0.8333333333333334,20:30,21:20
Globo,21:20,Três Graças,Variedades/Novela,1280,1345,65,Novela,Ficção,1.0833333333333333,21:20,22:25
Globo,22:25,Big Brother Brasil 26,Séries/Reality Show,1345,1380,35,Reality,Variedades & Entretenimento,0.5833333333333334,22:25,23:00
Globo,23:00,Globo Repórter,Séries/Documentário,1380,1430,50,Documentário,Variedades & Entretenimento,0.8333333333333334,23:00,23:50
Globo,23:50,Jornal da Globo,Jornalismo/Informativo,1430,1440,10,Jornalismo,Jornalismo & Esporte,0.16666666666666666,23:50,24:00
Record TV,00:00,Chicago Med,Séries/Drama,0,15,15,Série/Drama,Ficção,0.25,00:00,00:15
Record TV,00:15,Jornal da Record 24h,Jornalismo/Informativo,15,45,30,Jornalismo,Jornalismo & Esporte,0.5,00:15,00:45
Record TV,00:45,Fala que eu te Escuto,Variedades/Religião,45,120,75,Religioso,Religioso,1.25,00:45,02:00
Record TV,02:00,IURD - Inteligência e Fé,Variedades/Religião,120,150,30,Religioso,Religioso,0.5,02:00,02:30
Record TV,02:30,IURD - Palavra Amiga,Variedades/Religião,150,210,60,Religioso,Religioso,1.0,02:30,03:30
Record TV,03:30,Programação IURD,Variedades/Religião,210,300,90,Religioso,Religioso,1.5,03:30,05:00
Record TV,05:00,Balanço Geral Manhã,Jornalismo/Informativo,300,420,120,Jornalismo,Jornalismo & Esporte,2.0,05:00,07:00
Record TV,07:00,Jornal da Record 24h,Jornalismo/Informativo,420,425,5,Jornalismo,Jornalismo & Esporte,0.08333333333333333,07:00,07:05
Record TV,07:05,Balanço Geral Manhã,Jornalismo/Informativo,425,450,25,Jornalismo,Jornalismo & Esporte,0.4166666666666667,07:05,07:30
Record TV,07:30,Balanço Geral Manhã - SP,Jornalismo/Informativo,450,510,60,Jornalismo,Jornalismo & Esporte,1.0,07:30,08:30
Record TV,08:30,Fala Brasil,Jornalismo/Informativo,510,570,60,Jornalismo,Jornalismo & Esporte,1.0,08:30,09:30
Record TV,09:30,Hoje em Dia,Jornalismo/Informativo,570,690,120,Jornalismo,Jornalismo & Esporte,2.0,09:30,11:30
Record TV,11:30,Balanço Geral - SP,Jornalismo/Informativo,690,930,240,Jornalismo,Jornalismo & Esporte,4.0,11:30,15:30
Record TV,15:30,A Escrava Isaura,Variedades/Novela,930,990,60,Novela,Ficção,1.0,15:30,16:30
Record TV,16:30,Cidade Alerta,Jornalismo/Informativo,990,1030,40,Jornalismo,Jornalismo & Esporte,0.6666666666666666,16:30,17:10
Record TV,17:10,Jornal da Record 24h,Jornalismo/Informativo,1030,1035,5,Jornalismo,Jornalismo & Esporte,0.08333333333333333,17:10,17:15
Record TV,17:15,Cidade Alerta,Jornalismo/Informativo,1035,1060,25,Jornalismo,Jornalismo & Esporte,0.4166666666666667,17:15,17:40
Record TV,17:40,Jornal da Record 24h,Jornalismo/Informativo,1060,1065,5,Jornalismo,Jornalismo & Esporte,0.08333333333333333,17:40,17:45
Record TV,17:45,Cidade Alerta,Jornalismo/Informativo,1065,1080,15,Jornalismo,Jornalismo & Esporte,0.25,17:45,18:00
Record TV,18:00,Cidade Alerta,Jornalismo/Informativo,1080,1130,50,Jornalismo,Jornalismo & Esporte,0.8333333333333334,18:00,18:50
Record TV,18:50,Cidade Alerta,Jornalismo/Informativo,1130,1195,65,Jornalismo,Jornalismo & Esporte,1.0833333333333333,18:50,19:55
Record TV,19:55,Jornal da Record,Jornalismo/Informativo,1195,1260,65,Jornalismo,Jornalismo & Esporte,1.0833333333333333,19:55,21:00
Record TV,21:00,Coração de Mãe,Variedades/Novela,1260,1320,60,Novela,Ficção,1.0,21:00,22:00
Record TV,22:00,Reis - A Consequência,Variedades/Novela,1320,1350,30,Novela,Ficção,0.5,22:00,22:30
Record TV,22:30,Chamas do Destino,Variedades/Novela,1350,1410,60,Novela,Ficção,1.0,22:30,23:30
Record TV,23:30,Chicago Med,Séries/Drama,1410,1440,30,Série/Drama,Ficção,0.5,23:30,24:00
SBT,00:00,The Noite com Danilo Gentili,Variedades/Humor,0,45,45,Humor,Variedades & Entretenimento,0.75,00:00,00:45
SBT,00:45,Operação Mesquita,Variedades/Entrevista,45,75,30,Entrevista,Variedades & Entretenimento,0.5,00:45,01:15
SBT,01:15,Notícias Impressionantes,Jornalismo/Informativo,75,135,60,Jornalismo,Jornalismo & Esporte,1.0,01:15,02:15
SBT,02:15,SBT Notícias,Jornalismo/Informativo,135,360,225,Jornalismo,Jornalismo & Esporte,3.75,02:15,06:00
SBT,06:00,Se Liga Brasil,Jornalismo/Informativo,360,510,150,Jornalismo,Jornalismo & Esporte,2.5,06:00,08:30
SBT,08:30,Primeiro Impacto,Jornalismo/Informativo,510,690,180,Jornalismo,Jornalismo & Esporte,3.0,08:30,11:30
SBT,11:30,Alô Você,Jornalismo/Informativo,690,825,135,Jornalismo,Jornalismo & Esporte,2.25,11:30,13:45
SBT,13:45,Meu Coração é Teu,Variedades/Novela,825,930,105,Novela,Ficção,1.75,13:45,15:30
SBT,15:30,Fofocalizando,Variedades/Informativo,930,1020,90,Jornalismo,Jornalismo & Esporte,1.5,15:30,17:00
SBT,17:00,Coração Indomável,Variedades/Novela,1020,1110,90,Novela,Ficção,1.5,17:00,18:30
SBT,18:30,Aqui Agora,Jornalismo/Informativo,1110,1170,60,Jornalismo,Jornalismo & Esporte,1.0,18:30,19:30
SBT,19:30,SBT Brasil,Jornalismo/Informativo,1170,1245,75,Jornalismo,Jornalismo & Esporte,1.25,19:30,20:45
SBT,20:45,Presente de Amor,Variedades/Novela,1245,1305,60,Novela,Ficção,1.0,20:45,21:45
SBT,21:45,Programa do Ratinho,Variedades/Diversos,1305,1365,60,Variedades,Variedades & Entretenimento,1.0,21:45,22:45
SBT,22:45,Impuros,Séries/Drama,1365,1425,60,Série/Drama,Ficção,1.0,22:45,23:45
SBT,23:45,The Noite com Danilo Gentili,Variedades/Humor,1425,1440,15,Humor,Variedades & Entretenimento,0.25,23:45,24:00
